t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
17.512776851654,"[-134.1588592529297, 56.83238983154297, -27.33841896057129]","[-134.1588592529297, 56.83238983154297, -27.33841896057129]","[2.1178438663482666, -10.105447769165039, -5.564195156097412]","[2.1178438663482666, -10.105447769165039, -5.564195156097412]","[0.06950157135725021, 0.279174268245697, 0.3778494894504547, -0.8800346851348877]","[[0.5585829825430206, 0.7038474136049908, -0.43884381200004663], [-0.6262352123026451, 0.7047985898018075, 0.33329929638019706], [0.543888345013412, 0.08864412251716658, 0.8344625190567053]]","[0.14757737517356873, 0.02436032146215439, 0.2582058310508728]",[0.0],"[0.06950157135725021, 0.279174268245697, 0.3778494894504547, -0.8800346851348877]",[0.44],"[6.92753791809082, -4.22215461730957, -7.135396537780762]","[669.5941162109375, 669.857421875, 665.0267333984375, 664.82470703125]"
17.543782711029,"[-134.08645629882812, 56.49738693237305, -27.521074295043945]","[-134.08645629882812, 56.49738693237305, -27.521074295043945]","[2.271124839782715, -10.197053909301758, -5.505675792694092]","[2.271124839782715, -10.197053909301758, -5.505675792694092]","[0.06837069988250732, 0.2794475257396698, 0.3734090328216553, -0.8819298148155212]","[[0.5649495491303451, 0.6968531641642031, -0.44184573541955174], [-0.6204290725031782, 0.7117822832095442, 0.32929277799408396], [0.5439666830854186, 0.0881001432493349, 0.8344690555111054]]","[0.15173014998435974, 0.024996137246489525, 0.2616231441497803]",[0.0],"[0.06837069988250732, 0.2794475257396698, 0.3734090328216553, -0.8819298148155212]",[0.44],"[7.664048671722412, -4.5803070068359375, -6.884031829833985]","[669.6019897460938, 669.857421875, 665.457275390625, 665.2764282226562]"
17.574067115784,"[-134.01622009277344, 56.19023132324219, -27.685453414916992]","[-134.01622009277344, 56.19023132324219, -27.685453414916992]","[2.411280393600464, -10.279119491577148, -5.452773094177246]","[2.411280393600464, -10.279119491577148, -5.452773094177246]","[0.0673006996512413, 0.27970045804977417, 0.3693082630634308, -0.8836570382118225]","[[0.5707581211996366, 0.6903317648906127, -0.44460914771119997], [-0.6150356188125228, 0.7181640453190504, 0.3255328545276148], [0.5440279656758142, 0.08764990683401752, 0.8344765391863999]]","[0.15517212450504303, 0.02549395151436329, 0.26436278223991394]",[0.0],"[0.0673006996512413, 0.27970045804977417, 0.3693082630634308, -0.8836570382118225]",[0.44],"[7.007777690887451, -4.103279113769531, -7.164865074157715]","[669.613525390625, 669.857421875, 666.030517578125, 665.8798828125]"
17.606226205826,"[-133.9417724609375, 55.880638122558594, -27.848251342773438]","[-133.9417724609375, 55.880638122558594, -27.848251342773438]","[2.5522186756134033, -10.359991073608398, -5.400157928466797]","[2.5522186756134033, -10.359991073608398, -5.400157928466797]","[0.06619389355182648, 0.27995696663856506, 0.3651520609855652, -0.8853849172592163]","[[0.5765761383770549, 0.6836631379030047, -0.4473976781766371], [-0.609537371307943, 0.7245646816288871, 0.3216678766415768], [0.5440810247970713, 0.08723957677977978, 0.8344849305739657]]","[0.1583147943019867, 0.02592598646879196, 0.2667931020259857]",[0.0],"[0.06619389355182648, 0.27995696663856506, 0.3651520609855652, -0.8853849172592163]",[0.44],"[7.046914100646973, -4.0435791015625, -7.17924171447754]","[669.6245727539062, 669.857421875, 666.4892578125, 666.3634033203125]"
17.636908531189,"[-133.85498046875, 55.53730392456055, -28.025510787963867]","[-133.85498046875, 55.53730392456055, -28.025510787963867]","[2.7081658840179443, -10.447529792785645, -5.342616081237793]","[2.7081658840179443, -10.447529792785645, -5.342616081237793]","[0.06493739783763885, 0.2802421450614929, 0.36052200198173523, -0.8872831463813782]","[[0.5829764524368297, 0.6761665838455979, -0.45048554309383615], [-0.603373801186672, 0.7316140408983158, 0.3173026356968496], [0.544130985781476, 0.08683120101205155, 0.8344949489868188]]","[0.16144564747810364, 0.026334159076213837, 0.2691502869129181]",[0.0],"[0.06493739783763885, 0.2802421450614929, 0.36052200198173523, -0.8872831463813782]",[0.44],"[7.797360420227051, -4.376935958862305, -6.932907638549805]","[669.6317138671875, 669.857421875, 666.7864990234375, 666.6779174804688]"
17.668908834457,"[-133.7716064453125, 55.22269058227539, -28.185012817382812]","[-133.7716064453125, 55.22269058227539, -28.185012817382812]","[2.8507747650146484, -10.525777816772461, -5.290615081787109]","[2.8507747650146484, -10.525777816772461, -5.290615081787109]","[0.06376270949840546, 0.280503511428833, 0.3562646508216858, -0.8890037536621094]","[[0.5887865573019937, 0.6692125515802374, -0.45330455028148187], [-0.5976698959301601, 0.7380196309046485, 0.31323754728239805], [0.5441701480210579, 0.08649639493140171, 0.834504193907033]]","[0.1640159785747528, 0.026653164997696877, 0.2710390090942383]",[0.0],"[0.06376270949840546, 0.280503511428833, 0.3562646508216858, -0.8890037536621094]",[0.44],"[7.130444049835205, -3.9124011993408203, -7.209950027465821]","[669.6420288085938, 669.857421875, 667.1521606445312, 667.0648193359375]"
17.699877977371,"[-133.6749267578125, 54.873939514160156, -28.358667373657227]","[-133.6749267578125, 54.873939514160156, -28.358667373657227]","[3.0085721015930176, -10.610347747802734, -5.233757972717285]","[3.0085721015930176, -10.610347747802734, -5.233757972717285]","[0.06243807449936867, 0.2807920277118683, 0.35153329372406006, -0.8908881545066833]","[[0.5951603611539422, 0.6614179216771723, -0.45641045877172903], [-0.5912894674967626, 0.74505166051265, 0.30866617462940793], [0.5442067067019343, 0.0861648107826345, 0.8345146480525374]]","[0.1665640026330948, 0.026955196633934975, 0.2728702425956726]",[0.0],"[0.06243807449936867, 0.2807920277118683, 0.35153329372406006, -0.8908881545066833]",[0.44],"[7.889866828918457, -4.228496551513672, -6.96714454650879]","[669.6512451171875, 669.857421875, 667.472412109375, 667.4044799804688]"
17.730879068375,"[-133.58250427246094, 54.55449676513672, -28.51491355895996]","[-133.58250427246094, 54.55449676513672, -28.51491355895996]","[3.152869462966919, -10.685829162597656, -5.1823859214782715]","[3.152869462966919, -10.685829162597656, -5.1823859214782715]","[0.06120700761675835, 0.2810545563697815, 0.3471921384334564, -0.8925915360450745]","[[0.6009319107075779, 0.6542065450390857, -0.4592326526419901], [-0.5853965115492863, 0.7514226424572115, 0.3044255787757115], [0.5442350200882908, 0.0858941509942519, 0.8345240771247748]]","[0.1686457246541977, 0.027187833562493324, 0.27433717250823975]",[0.0],"[0.06120700761675835, 0.2810545563697815, 0.3471921384334564, -0.8925915360450745]",[0.44],"[7.214868068695068, -3.7740707397460938, -7.241397438049317]","[669.6603393554688, 669.857421875, 667.7532348632812, 667.7029418945312]"
17.761873722076,"[-133.48574829101562, 54.2327995300293, -28.669618606567383]","[-133.48574829101562, 54.2327995300293, -28.669618606567383]","[3.297971248626709, -10.759947776794434, -5.131318092346191]","[3.297971248626709, -10.759947776794434, -5.131318092346191]","[0.059952717274427414, 0.28131669759750366, 0.34281617403030396, -0.8942838907241821]","[[0.6066759729521181, 0.6468813647012746, -0.46204845938886807], [-0.5794185629587196, 0.7577654850292739, 0.3001093264497561], [0.544259504023827, 0.08565032939510875, 0.8345331746884945]]","[0.17052330076694489, 0.027389928698539734, 0.27563756704330444]",[0.0],"[0.059952717274427414, 0.28131669759750366, 0.34281617403030396, -0.8942838907241821]",[0.44],"[7.255089282989502, -3.705930709838867, -7.256608543395997]","[669.6670532226562, 669.857421875, 667.9569091796875, 667.9195556640625]"
17.792876958847,"[-133.37425231933594, 53.87638854980469, -28.838031768798828]","[-133.37425231933594, 53.87638854980469, -28.838031768798828]","[3.458510160446167, -10.839872360229492, -5.075497150421143]","[3.458510160446167, -10.839872360229492, -5.075497150421143]","[0.05854865536093712, 0.2816035747528076, 0.33796581625938416, -0.8961309194564819]","[[0.6129570674531362, 0.6386982566319848, -0.4651324525310343], [-0.5727482140455447, 0.7647023239911088, 0.2952792847288608], [0.5442822289308282, 0.08541024328271174, 0.8345429632837322]]","[0.17237277328968048, 0.027578646317124367, 0.276898056268692]",[0.0],"[0.05854865536093712, 0.2816035747528076, 0.33796581625938416, -0.8961309194564819]",[0.44],"[8.0269455909729, -3.9962291717529297, -7.018952903747559]","[669.6743774414062, 669.857421875, 668.1773681640625, 668.1549682617188]"
