t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
21.099225521088,"[6.058750629425049, -5.051833152770996, -7.952605724334717]","[6.1513617866339505, -5.201937824710051, -6.758202193275743]","[-0.2893524765968323, 0.4537736475467682, 0.6589369177818298]","[0.0, 0.0, 0.0]","[-0.004450654145330191, -0.005936305038630962, -0.0009194010635837913, 0.9999720454216003]","[[0.9999278299683452, 0.001891591605485612, -0.01186409431114299], [-0.0017859098429731024, 0.9999586927587258, 0.00891197514867246], [0.011880462055762432, -0.00889014376800736, 0.999889903920334]]","[-0.7087659239768982, -0.282432496547699, 0.0005645648343488574]",[0.6563733262324103],"[-0.025369795816199806, 0.018092482662999086, 0.00045922563944850745, 0.9995142943665916]",[0.7160147116093608],"[0.2993018034445949, -0.13271329956008415, -20.560025064632107]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.11522436142,"[6.05442476272583, -5.045038223266602, -7.942776203155518]","[6.1472651201496795, -5.19554713723978, -6.748060182997828]","[-0.2873391807079315, 0.4520028233528137, 0.6505867838859558]","[0.0, 0.0, 0.0]","[-0.006889814510941505, -0.007176129147410393, -0.0009220035863108933, 0.9999501705169678]","[[0.999895306159693, 0.001942799684162104, -0.0143388382618334], [-0.0017450308892332303, 0.9999033607307833, 0.013792175223711959], [0.01436424799658582, -0.01376570955647299, 0.999802067252929]]","[0.09651891887187958, -0.027499116957187653, 0.0010514173191040754]",[0.639253985354269],"[-0.016552189217889618, 0.01228372262097416, 0.00020336571138545632, 0.9997875243435745]",[0.7160147116093608],"[0.333564919384884, -0.30427632559943935, -19.86536683652551]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.131209373474,"[6.050131797790527, -5.03827428817749, -7.9331278800964355]","[6.1431908051274275, -5.189180477491053, -6.737900164815744]","[-0.2850152254104614, 0.44989660382270813, 0.6359513998031616]","[0.0, 0.0, 0.0]","[-0.005514753516763449, -0.007167690433561802, -0.0009021066944114864, 0.9999586939811707]","[[0.999895620834721, 0.0018831949560018752, -0.014324838937480577], [-0.0017250827718996485, 0.9999375473943225, 0.011041983491548862], [0.014344738521742584, -0.011016119405454522, 0.9998364234149959]]","[0.08630622923374176, -0.017695359885692596, 0.0016336517874151468]",[0.6380450397455977],"[-0.018930397969884744, 0.013613750165354047, 0.0002577838043626617, 0.9997280827238211]",[0.7160147116093608],"[0.3642519190567006, -0.31226051804903776, -20.47677072853083]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.147216558456,"[6.045873641967773, -5.031539440155029, -7.923682689666748]","[6.139129473160737, -5.182823508195924, -6.727699439000215]","[-0.282694011926651, 0.4480845630168915, 0.6236267685890198]","[0.0, 0.0, 0.0]","[-0.006447891239076853, -0.007588682696223259, -0.0008922894485294819, 0.9999500513076782]","[[0.9998832314289522, 0.0018823517610229348, -0.015165100532256488], [-0.0016866277583304865, 0.9999152570362182, 0.012908680953678612], [0.015188114073528063, -0.0128815957476863, 0.9998016731870102]]","[-0.3011523485183716, -0.0896037295460701, 0.002165458630770445]",[0.6216427381340539],"[-0.011534157069197502, 0.008662853695586102, 9.992911294777486e-05, 0.9998959486870244]",[0.7160147116093608],"[0.3681236483985435, -0.29697056008229084, -20.008795182685844]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.163218736649,"[6.040811538696289, -5.023497581481934, -7.912582874298096]","[6.135087843158477, -5.176487040224815, -6.7174754868021935]","[-0.2796902358531952, 0.4452228546142578, 0.6102296710014343]","[0.0, 0.0, 0.0]","[-0.00929337553679943, -0.008492106571793556, -0.0008859332301653922, 0.9999203681945801]","[[0.99985419849657, 0.001929566034345985, -0.01696639403961394], [-0.0016138846924651853, 0.9998256965868874, 0.018600317855866095], [0.016999327280447764, -0.018570224098241866, 0.9996830345942106]]","[-0.20316091179847717, -0.08304315060377121, 0.00270447158254683]",[0.6262588634458883],"[-0.017447683366376286, 0.012176351781487387, 0.000212497237861258, 0.9997736091972842]",[0.7160147116093608],"[0.45366397366486444, -0.4542192263760751, -20.18155114392231]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.179207801819,"[6.036635875701904, -5.016841411590576, -7.903491020202637]","[6.131067724374708, -5.170174239158443, -6.707233735507877]","[-0.27701103687286377, 0.44225001335144043, 0.6020781397819519]","[0.0, 0.0, 0.0]","[-0.009502955712378025, -0.00874244887381792, -0.0008633822435513139, 0.9999162554740906]","[[0.9998456483175804, 0.0018927780889605398, -0.01746702411671675], [-0.0015604616710980564, 0.9998178968076602, 0.019019415933959928], [0.017499842849610033, -0.018989223633468687, 0.9996665268408346]]","[0.09432689100503922, 0.0067755067721009254, 0.0031388169154524803]",[0.6259575206813808],"[-0.01902696976699035, 0.013017100546370909, 0.0002477418286388231, 0.9997341987442653]",[0.7160147116093608],"[0.42565337483749566, -0.4690362565819698, -19.652499501611715]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.195223093033,"[6.032501220703125, -5.010229587554932, -7.894524097442627]","[6.127059040935393, -5.163869583005741, -6.696949158102114]","[-0.27429112792015076, 0.4393312931060791, 0.5934914350509644]","[0.0, 0.0, 0.0]","[-0.009088643826544285, -0.008709005080163479, -0.0008350322605110705, 0.9999204277992249]","[[0.9998469119032752, 0.001828237720827108, -0.017401445549326457], [-0.0015116255397984255, 0.9998333985490363, 0.018190385846703672], [0.017431802792524296, -0.01816129664590811, 0.9996830995678158]]","[-0.04916784539818764, -0.016816915944218636, 0.003534238785505295]",[0.6092524167698996],"[-0.010679132771030964, 0.007540605227712478, 8.053400677217908e-05, 0.9999145408035289]",[0.7160147116093608],"[0.42493850076907824, -0.45175391196023057, -19.455247191801952]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.211224317551,"[6.02759313583374, -5.002352714538574, -7.883932590484619]","[6.123071691614436, -5.157588941792227, -6.686647803452862]","[-0.27099746465682983, 0.43576526641845703, 0.5838403105735779]","[0.0, 0.0, 0.0]","[-0.010684812441468239, -0.009177394211292267, -0.0008109431364573538, 0.9999005198478699]","[[0.99983023561344, 0.0018178423991196888, -0.018335632934812454], [-0.001425607455723392, 0.9997703543086401, 0.02138238371909458], [0.018370292036067423, -0.02135261433970974, 0.9996032204371623]]","[-0.2152772694826126, -0.06434831768274307, 0.003940205555409193]",[0.6193664090422968],"[-0.019042877129726736, 0.012604699293557387, 0.0002400923602276046, 0.9997391823580787]",[0.7160147116093608],"[0.49320018075729466, -0.5476600679778503, -19.706838398094593]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.227208375931,"[6.0235490798950195, -4.995840549468994, -7.875213623046875]","[6.119106189907879, -5.151333465160772, -6.6763319456528585]","[-0.2681662142276764, 0.4323817193508148, 0.5786030292510986]","[0.0, 0.0, 0.0]","[-0.011443059891462326, -0.009381471201777458, -0.0007850528345443308, 0.9998902678489685]","[[0.9998227433802744, 0.0017846388516801828, -0.01874291669231799], [-0.0013552279043523088, 0.9997368801447347, 0.02289833834089041], [0.0187788503187326, -0.022868878538653804, 0.9995620887568213]]","[0.013071592897176743, 0.006752436980605125, 0.0042342315427958965]",[0.618295284142117],"[-0.019497136845608387, 0.012730201475769561, 0.0002482698025178545, 0.9997288342282197]",[0.7160147116093608],"[0.4503084623108168, -0.5426037340179972, -19.24964077485911]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.243034362793,"[6.019548416137695, -4.989381313323975, -7.866583824157715]","[6.115197002487281, -5.145157982875542, -6.666093140866861]","[-0.2652830183506012, 0.4288647472858429, 0.5719532370567322]","[0.0, 0.0, 0.0]","[-0.011270932853221893, -0.009357661940157413, -0.0007509597926400602, 0.9998924136161804]","[[0.9998237404448072, 0.001712697157964481, -0.0186963823314999], [-0.0012908188404018237, 0.999744804264016, 0.022553494964368235], [0.018730238401093162, -0.022525386052887533, 0.9995708004712638]]","[-0.02365959994494915, -0.016076145693659782, 0.004492498002946377]",[0.6649503630634954],"[-0.04866926645406127, 0.03095430972062223, 0.0015090375434302788, 0.998334040298254]",[0.7160147116093608],"[0.4676718680183723, -0.5680503318835767, -20.063748812290996]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
