t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
2.0034635066986,"[-0.00636480376124382, 0.06846896559000015, -4.602138519287109]","[-0.42521366556951123, 4.616772167861905, -5.334081288959274]","[-0.03267865628004074, 0.6846452951431274, 0.097419872879982]","[0.9777195605956726, 1.155027881436665, 0.02768300016034663]","[0.21382951736450195, 0.0025464603677392006, -0.0026744070928543806, 0.9768640398979187]","[[0.9999727261725945, 0.006314081016957768, 0.0038313567687368044], [-0.004136047451271746, 0.9085395701007317, -0.4177783529075574], [-0.006118825480341816, 0.41775111182088076, 0.9085409060865194]]","[0.62696772813797, -0.1457739919424057, 0.0005005636485293508]",[0.6101807604234448],"[0.25880365249278064, 0.010534412802967857, -0.0028226874032913165, 0.9658683802874573]",[0.68],"[-0.14129630044033883, 10.359725132709299, -16.688203023404803]","[527.6851806640625, 520.0316772460938, 512.3793334960938, 526.1775512695312]"
2.0344543457031,"[-0.007357753813266754, 0.0909094288945198, -4.59889554977417]","[-0.3949427519287041, 4.652501898993633, -5.333223841029673]","[-0.03328164666891098, 0.8123132586479187, 0.11875731498003006]","[0.9758201635289527, 1.1507982304475883, 0.027652573880866935]","[0.2219715416431427, 0.0002749574196059257, -0.003157752798870206, 0.9750480055809021]","[[0.9999799059913572, 0.006279986581944107, -0.0008656691465734785], [-0.006035855692679516, 0.9014373265956556, -0.43286755444485153], [-0.0019380558809991948, 0.43286408145460625, 0.9014571181979679]]","[0.5003593564033508, -0.16664259135723114, 0.003740557935088873]",[0.6139388504888894],"[0.25879258215409967, 0.01381238497606534, -0.0037010173998844793, 0.9658270652210427]",[0.68],"[-0.022482313116206815, 10.217293452045483, -16.72730724088244]","[528.8170776367188, 524.0928344726562, 516.291015625, 523.6370849609375]"
2.0664529800415,"[-0.008443953469395638, 0.12011095136404037, -4.59458065032959]","[-0.36374919556493507, 4.689256062181824, -5.332339499040288]","[-0.032228149473667145, 0.9584013819694519, 0.14268527925014496]","[0.9738605838176988, 1.1464358175319027, 0.027621159614067366]","[0.22928884625434875, -0.0025090351700782776, -0.00368790072388947, 0.9733482003211975]","[[0.9999602082615321, 0.0060286355064044506, -0.006575518738838951], [-0.008329810623839778, 0.8948260487432007, -0.4463372655655482], [0.003193140730514174, 0.44637427785602823, 0.8948406594517299]]","[0.4077445864677429, -0.18026694655418396, 0.008431607857346535]",[0.6184255597925582],"[0.25877789281420827, 0.017224252821025528, -0.0046152246336232765, 0.9657722438582383]",[0.68],"[0.11133965312557514, 11.286492522263343, -16.597100041897093]","[532.42431640625, 525.7452392578125, 517.2064819335938, 523.90625]"
2.0974636077881,"[-0.009375142864882946, 0.15091033279895782, -4.589969158172607]","[-0.33357859336753315, 4.72474226457514, -5.331483421571841]","[-0.0295680221170187, 1.0955746173858643, 0.16454599797725677]","[0.9719630447949504, 1.1422127372184805, 0.02759071671534728]","[0.23462355136871338, -0.005176412407308817, -0.004128878470510244, 0.9720637202262878]","[[0.9999123142343305, 0.005598049408109096, -0.012001069663990116], [-0.010456082457516558, 0.8898694830114169, -0.4560953388368641], [0.008126141144306376, 0.4561808299478362, 0.8898499877954443]]","[0.3312990367412567, -0.1895514279603958, 0.013714106753468513]",[0.6227229374678019],"[0.25876066605048886, 0.020514677250026547, -0.005496891202129738, 0.9657079527007876]",[0.68],"[0.24082030707052893, 10.956082794522281, -16.711104186259984]","[533.8370361328125, 530.0750732421875, 519.1705322265625, 523.8382568359375]"
2.1284675598145,"[-0.010200942866504192, 0.1858808398246765, -4.584707260131836]","[-0.3034732875059407, 4.760089980425317, -5.330628472120061]","[-0.0251763928681612, 1.2363711595535278, 0.18601025640964508]","[0.9700674253702952, 1.137995128297721, 0.02756028175238406]","[0.23901039361953735, -0.008068835362792015, -0.004541399423032999, 0.9709728956222534]","[[0.9998285391743372, 0.00496208046369484, -0.01784012420038411], [-0.012676222528143488, 0.8857068148662286, -0.46407194034463123], [0.013498357545653483, 0.46421851556167576, 0.885617851275444]]","[0.27254900336265564, -0.2020081728696823, 0.01990177482366562]",[0.6271756084525196],"[0.25874037836558206, 0.023813499732174663, -0.006380808022194957, 0.9656322380299475]",[0.68],"[0.38099766576625405, 11.238717757234785, -16.749795818824968]","[535.72119140625, 533.0670166015625, 519.7061767578125, 525.5684204101562]"
2.1594543457031,"[-0.010923112742602825, 0.22928425669670105, -4.578183174133301]","[-0.27344334972083345, 4.795287541768283, -5.329774938832298]","[-0.018206650391221046, 1.3947275876998901, 0.20915688574314117]","[0.9681743651979776, 1.1337844125675414, 0.027529865021479444]","[0.2428918480873108, -0.01133424136787653, -0.0049058254808187485, 0.9699747562408447]","[[0.9996949356979329, 0.004011064084812221, -0.024371026050821643], [-0.01502304341485694, 0.881958966018165, -0.4710867146625386], [0.0196046859811021, 0.4713091299029717, 0.8817501702106909]]","[0.2180379182100296, -0.20363697409629822, 0.02768014371395111]",[0.6322766180882193],"[0.25871673137129253, 0.027157181679348386, -0.00727674489968668, 0.9655439862458127]",[0.68],"[0.5707879262303767, 12.214848313089153, -16.695570376306904]","[538.021484375, 536.2991943359375, 521.5343627929688, 525.809326171875]"
2.1914556026459,"[-0.01134923379868269, 0.27332210540771484, -4.571601867675781]","[-0.24249181385584798, 4.831500551795358, -5.328894451149252]","[-0.009861759841442108, 1.5415849685668945, 0.2292410135269165]","[0.9662209126566642, 1.1294406258952159, 0.027498453931564238]","[0.24574825167655945, -0.014462624676525593, -0.005164842586964369, 0.9692120552062988]","[[0.9995283137770357, 0.002903325939236645, -0.03057320244468767], [-0.017119984854878367, 0.8791622423979325, -0.4762149417818887], [0.02549619830096314, 0.4765137305012831, 0.8787972585707607]]","[0.17839747667312622, -0.21468937397003174, 0.03547905012965202]",[0.6369437829058875],"[0.25868934894738776, 0.030575234567532254, -0.008192609410762414, 0.9654417936485656]",[0.68],"[0.6981771217165089, 11.71873706851876, -16.880930459723547]","[541.6613159179688, 538.1978759765625, 524.36328125, 526.0670776367188]"
2.2219505310059,"[-0.01149174477905035, 0.3268965780735016, -4.563684463500977]","[-0.21305534040179674, 4.865879706363097, -5.328056344144453]","[0.0016418207669630647, 1.7057932615280151, 0.25031304359436035]","[0.9643609087664784, 1.1253058274817735, 0.02746852276064458]","[0.24827350676059723, -0.017967768013477325, -0.005330666899681091, 0.9685086607933044]","[[0.999297486606037, 0.001403752573556849, -0.037450804601468324], [-0.01924743566702447, 0.8766636996624007, -0.4807185227139057], [0.03215695114324246, 0.48110164345874806, 0.8760748503068191]]","[0.14286138117313385, -0.21400706470012665, 0.04472175985574722]",[0.6421856659882277],"[0.25865958428596814, 0.03390164321200002, -0.009083917920743456, 0.9653307104198776]",[0.68],"[0.9221409843436106, 12.664018240899122, -16.872769962613468]","[541.9351806640625, 542.4207153320312, 524.3426513671875, 529.0962524414062]"
2.2530770301819,"[-0.011258657090365887, 0.38033798336982727, -4.555901050567627]","[-0.18306768909040486, 4.900840912530371, -5.327201820649394]","[0.014261700212955475, 1.8573118448257446, 0.26820409297943115]","[0.962463890390118, 1.1210899458431605, 0.0274379730736296]","[0.25012072920799255, -0.021285315975546837, -0.0053835660219192505, 0.9679657220840454]","[[0.9990359050814175, -0.0002255827628642182, -0.04389999541439815], [-0.021070012250041015, 0.8748212760746994, -0.48398740270430146], [0.038513829577830894, 0.48444576631970854, 0.8739731122885663]]","[0.11656992882490158, -0.22168327867984772, 0.05354519933462143]",[0.6469189358097108],"[0.2586262698904044, 0.03727394602066886, -0.009987523734959479, 0.9652063794030101]",[0.68],"[1.0407019618222455, 12.092865985595592, -17.072026212646282]","[545.0435180664062, 544.404541015625, 527.1803588867188, 530.08740234375]"
2.2840774059296,"[-0.010614863596856594, 0.4383542239665985, -4.547599792480469]","[-0.1532602122816917, 4.935530098978521, -5.326351704763645]","[0.029029177501797676, 2.010714054107666, 0.28481820225715637]","[0.9605760723350848, 1.1168957168174638, 0.027407548557417387]","[0.2516132891178131, -0.024674085900187492, -0.005324010271579027, 0.9674986600875854]","[[0.9987256887992366, -0.0021147102105527615, -0.05042347356609281], [-0.022718601426733764, 0.8733248153078879, -0.48660830998988003], [0.045065106623176726, 0.4871337703369777, 0.8721638844486119]]","[0.09508747607469559, -0.22305037081241608, 0.06264080852270126]",[0.6516283736929044],"[0.2585896595504133, 0.040658134021296484, -0.010894314176762747, 0.9650697477540812]",[0.68],"[1.2123896897418105, 12.244568020162824, -17.17824344314629]","[547.4402465820312, 546.3932495117188, 529.5869750976562, 531.306884765625]"
